id,category,rule,implementation,example
1,responsive,mobile-first,Always design mobile-first then expand with md: lg: xl: prefixes,class="text-sm md:text-base lg:text-lg"
2,layout,container,Use max-w-7xl mx-auto px-4 for consistent container,class="max-w-7xl mx-auto px-4 sm:px-6 lg:px-8"
3,spacing,consistent-scale,Use Tailwind spacing scale: p-4 p-6 p-8 gap-4 gap-6,class="p-4 md:p-6 lg:p-8 gap-4"
4,typography,readable,Minimum text-base (16px) for body text-sm for secondary,class="text-base text-gray-900 leading-relaxed"
5,colors,semantic,Use semantic color names: primary secondary accent not raw colors,class="bg-primary text-primary-foreground"
6,buttons,states,Include all states: hover focus active disabled,class="hover:bg-primary/90 focus:ring-2 disabled:opacity-50"
7,forms,labels,Always pair inputs with labels use sr-only if visual label hidden,<label for="email" class="sr-only">Email</label>
8,flex,center,Use flex items-center justify-center for centering,class="flex items-center justify-center min-h-screen"
9,grid,responsive,Define mobile columns first then larger: grid-cols-1 md:grid-cols-2 lg:grid-cols-3,class="grid grid-cols-1 md:grid-cols-2 lg:grid-cols-4 gap-6"
10,images,responsive,Use w-full h-auto object-cover for responsive images,class="w-full h-64 object-cover rounded-lg"
11,accessibility,focus,Always include focus:ring-2 focus:ring-offset-2 on interactive elements,class="focus:ring-2 focus:ring-offset-2 focus:ring-primary"
12,transitions,smooth,Use transition-all duration-200 for smooth state changes,class="transition-all duration-200 ease-out"
13,hover,subtle,Prefer opacity or color changes over scale transforms,class="hover:opacity-90 hover:bg-gray-100"
14,dark,dual-mode,Support dark mode with dark: prefix,class="bg-white dark:bg-gray-900 text-gray-900 dark:text-white"
15,glass,light-glass,Higher opacity for light mode glass effects,class="bg-white/80 dark:bg-white/10 backdrop-blur-xl"
16,borders,visible,Ensure borders visible in both modes,class="border border-gray-200 dark:border-white/10"
17,text,contrast,Ensure text contrast: gray-900 on light gray-100 on dark,class="text-gray-900 dark:text-gray-100"
18,cards,interactive,Add cursor-pointer and hover state to clickable cards,class="cursor-pointer hover:shadow-lg transition-shadow"
19,navbar,floating,Use floating navbar with spacing,class="fixed top-4 left-4 right-4 z-50 rounded-2xl"
20,z-index,scale,Follow z-index scale: 10 dropdown 20 sticky 30 modal 50 toast,class="z-10 z-20 z-30 z-50"
21,overflow,handle,Prevent horizontal overflow use overflow-x-hidden on body,class="overflow-x-hidden max-w-full"
22,animation,reduced,Respect reduced motion preference,class="motion-reduce:transition-none motion-reduce:animate-none"
23,icons,size,Use consistent icon sizing w-5 h-5 inline w-6 h-6 standard,class="w-6 h-6" or class="w-5 h-5"
24,buttons,size,Minimum touch target 44x44px use p-3 or min-h-11,class="p-3 min-h-11 min-w-11"
25,loading,skeleton,Use animate-pulse for skeleton loading states,class="animate-pulse bg-gray-200 rounded h-4 w-full"
