id,category,rule,implementation,example
1,widgets,everything,Everything is a widget in Flutter,Text('Hello') Container() Column()
2,layout,column-row,Use Column Row for linear layouts,Column(children: [Widget1() Widget2()])
3,layout,stack,Use Stack for layered positioning,Stack(children: [Background() Positioned(child: Content())])
4,layout,flexible,Use Expanded Flexible in Row/Column,Row(children: [Expanded(child: Text()) Icon()])
5,state,StatefulWidget,Use StatefulWidget for local state,class MyWidget extends StatefulWidget
6,state,setState,Call setState to trigger rebuild,setState(() { _counter++; })
7,state,providers,Use Provider/Riverpod for state management,ChangeNotifierProvider(create: (_) => MyModel())
8,lists,ListView,Use ListView.builder for long lists,ListView.builder(itemCount: items.length itemBuilder: (ctx i) => ...)
9,styling,container,Use Container for padding margin decoration,Container(padding: EdgeInsets.all(16) decoration: BoxDecoration(...))
10,images,Image,Use Image.network Image.asset for images,Image.network(url fit: BoxFit.cover)
11,navigation,navigator,Use Navigator for routing,Navigator.push(context MaterialPageRoute(builder: (_) => Screen()))
12,navigation,go-router,Use go_router for declarative routing,GoRouter(routes: [GoRoute(path: '/' builder: ...)])
13,themes,ThemeData,Use ThemeData for consistent theming,MaterialApp(theme: ThemeData(primarySwatch: Colors.blue))
14,text,styling,Use TextStyle for text formatting,Text('Hello' style: TextStyle(fontSize: 16 fontWeight: FontWeight.bold))
15,buttons,material,Use ElevatedButton TextButton OutlinedButton,ElevatedButton(onPressed: () {} child: Text('Submit'))
16,forms,validation,Use Form with GlobalKey for validation,Form(key: _formKey child: TextFormField(validator: ...))
17,async,FutureBuilder,Use FutureBuilder for async UI,FutureBuilder<Data>(future: _future builder: (ctx snapshot) => ...)
18,async,StreamBuilder,Use StreamBuilder for streams,StreamBuilder<int>(stream: _stream builder: ...)
19,gestures,GestureDetector,Use GestureDetector for touch handling,GestureDetector(onTap: () {} child: ...)
20,animation,AnimatedContainer,Use implicit animations for simple cases,AnimatedContainer(duration: Duration(ms: 200) ...)
21,animation,AnimationController,Use explicit animations for complex cases,AnimationController(vsync: this duration: ...)
22,padding,EdgeInsets,Use EdgeInsets for consistent spacing,EdgeInsets.symmetric(horizontal: 16 vertical: 8)
23,keys,unique,Use keys for stateful list items,ListView(children: items.map((i) => ItemWidget(key: ValueKey(i.id))))
24,accessibility,semantics,Use Semantics widget for accessibility,Semantics(label: 'Submit button' child: Button())
25,const,optimization,Use const constructors for optimization,const Text('Static') const SizedBox(height: 16)
