name,description,css_keywords,best_for,mood
glassmorphism,Frosted glass effect with blur and transparency,backdrop-blur bg-white/10 border-white/20 shadow-xl,SaaS dashboards premium apps landing pages,modern elegant futuristic
claymorphism,Soft 3D clay-like elements with rounded corners,rounded-3xl shadow-inner bg-gradient-to-b,Kids apps playful brands education,playful friendly approachable
neumorphism,Soft extruded plastic look with inner/outer shadows,shadow-neumorphic bg-gray-100 rounded-2xl,Minimal apps calculators music players,clean subtle sophisticated
minimalism,Clean design with lots of whitespace and simple elements,space-y-8 text-gray-900 font-light tracking-wide,Portfolios luxury brands corporate,elegant simple professional
brutalism,Raw bold typography with unconventional layouts,font-black uppercase border-4 border-black,Creative agencies art galleries startups,bold rebellious authentic
bento-grid,Asymmetric grid layout inspired by bento boxes,grid-cols-4 gap-4 col-span-2 row-span-2,Feature showcases dashboard widgets portfolios,organized modern dynamic
dark-mode,Dark background with light text and accent colors,bg-slate-900 text-white accent-purple,Dev tools gaming music apps,professional modern sleek
flat-design,Simple 2D elements without shadows or gradients,bg-solid border-none rounded-lg,Mobile apps icons UI systems,clean accessible modern
skeuomorphism,Realistic textures and shadows mimicking physical objects,shadow-realistic texture-leather gradient-metallic,Music apps note-taking luxury,nostalgic realistic premium
material-design,Google's design language with elevation and motion,shadow-md rounded-md transition-all duration-200,Android apps enterprise tools,familiar consistent reliable
aurora,Gradient mesh backgrounds with soft flowing colors,bg-gradient-to-br blur-3xl animation-pulse,Landing pages hero sections,dreamy modern artistic
mesh-gradient,Multi-point gradient backgrounds,bg-gradient-mesh animate-gradient,Backgrounds hero sections cards,vibrant dynamic creative
glow-effect,Neon-like glowing elements and text,shadow-glow text-shadow-glow animate-pulse,Gaming fintech tech startups,futuristic energetic bold
frosted-card,Semi-transparent cards with blur effect,backdrop-blur-xl bg-white/5 rounded-2xl border-white/10,Overlays modals floating cards,elegant modern layered
floating-elements,Elements with subtle shadows appearing to float,shadow-2xl hover:shadow-3xl transition-shadow,Cards buttons CTAs,dynamic interactive premium
